,Estimation Statistics
r**2,0.4965841849645973
f-stat,43.15628838691148
Est Var,279808348.65221345
rootMSE,16727.472871064936
SSE,48966461014.13736
SSR,48301959150.00294
SST,97268420164.13895
Obs.,180.0
DOF,175.0
