Country Name,World Rank,Region Rank,2020 Score,Property Rights,Judical Effectiveness,Government Integrity,Tax Burden,Gov't Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom ,Financial Freedom,Tariff Rate (%),Income Tax Rate (%),Corporate Tax Rate (%),Tax Burden % of GDP,Gov't Expenditure % of GDP ,Population (Millions),"GDP (Billions, PPP)",GDP Growth Rate (%),5 Year GDP Growth Rate (%),GDP per Capita (PPP),Unemployment (%),Inflation (%),FDI Inflow (Millions),Public Debt (% of GDP)
Brunei Darussalam,61.0,13.0,66.6,69.8,56.8,49.6,89.8,61.5,20.0,84.1,90.5,77.1,85.0,65.0,50.0,0.0,0.0,18.5,26.0,35.824333333333335,0.434,34.552,-0.233,-0.9,79529.86,9.2,0.149,503.9550158645435,2.491
Bulgaria,36.0,19.0,70.2,64.2,45.4,44.2,90.3,66.1,99.2,62.6,68.1,85.7,86.4,70.0,60.0,1.8,10.0,10.0,27.7,33.59166666666667,7.01,162.318,3.2,3.3,23155.64,5.3,2.631,2058.8002691249894,20.518
Burkina Faso,117.0,15.0,56.7,46.9,42.6,34.1,81.3,77.0,49.2,47.6,52.1,82.4,61.8,65.0,40.0,9.1,27.5,28.0,18.1,27.665000000000003,19.46,38.845,6.034,5.3,1996.14,6.1,2.0,480.00174185931195,42.957
Burma,141.0,35.0,54.0,32.5,14.3,31.5,86.6,87.5,84.6,53.1,59.9,77.5,70.8,30.0,20.0,4.6,20.0,30.0,6.1,20.42,52.832,328.443,6.689,6.8,6216.73,1.6,5.944,3554.048,38.19
Burundi,166.0,41.0,49.0,24.9,26.9,22.3,73.7,85.8,13.2,55.1,67.4,70.3,68.2,50.0,30.0,5.9,35.0,35.0,13.6,21.764,11.193,8.2,0.149,-0.1,732.543,1.5,1.238,0.983747122235384,58.44
Cambodia,113.0,25.0,57.3,43.1,28.1,14.8,89.4,83.9,94.8,31.2,62.5,74.8,65.4,50.0,50.0,9.8,20.0,20.0,16.2,23.188,16.253,70.452,7.251,7.1,4334.75,1.1,1.302,3102.579,29.361
Cameroon,145.0,29.0,53.6,45.3,30.8,20.8,74.8,88.3,63.7,46.0,50.1,84.1,59.6,30.0,50.0,12.7,35.0,33.0,14.4,19.754,24.884,95.262,4.047,4.8,3828.2,3.4,2.387,701.744,37.745
Canada,9.0,1.0,78.2,87.7,72.7,90.3,76.5,50.9,83.3,81.7,72.0,76.0,87.0,80.0,80.0,1.5,33.0,15.0,32.2,40.4529198582,36.994,1836.816,1.834,1.9,49651.18,5.9,0.942,39624.62184355127,90.63
Cabo Verde,76.0,5.0,63.6,47.5,48.0,46.1,77.7,71.7,66.2,58.5,55.6,83.1,68.2,80.0,60.0,10.9,50.0,30.0,6.935943140472296,30.71966666666667,0.553,4.045,4.729,3.0,7315.59,12.3,2.243,99.56572462081886,127.712
Central African Republic,159.0,36.0,50.7,38.1,31.7,24.3,65.5,93.5,95.3,24.3,40.4,73.3,47.2,45.0,30.0,16.4,50.0,30.0,6.935943140472296,14.749333333333334,5.081,3.617,4.341,3.8,711.896,6.5,3.0,17.994743843291836,48.536
